id,module_name,module_description,course_code,course_module_sequence,is_deleted,theory_practical,duration_hours,duration_minutes
11,Gemini for DevOps Engineers,"In this course, you learn how Gemini, a generative AI-powered collaborator from Google Cloud, helps engineers manage infrastructure. You learn how to prompt Gemini to find and understand application logs, create a GKE cluster, and investigate how to create a build environment. Using a hands-on lab, you experience how Gemini improves the DevOps workflow.

Duet AI was renamed to Gemini, our next-generation model.",2,6,,P,1,15
12,Gemini for end-to-end SDLC,"In this course, you learn how Gemini, a generative AI-powered collaborator from Google Cloud, helps you use Google products and services to develop, test, deploy, and manage applications. With help from Gemini, you learn how to develop and build a web application, fix errors in the application, develop tests, and query data. Using a hands-on lab, you experience how Gemini improves the software development lifecycle (SDLC).

Duet AI was renamed to Gemini, our next-generation model.",2,7,,P,1,30
13,Develop GenAI Apps with Gemini and Streamlit,"Complete the intermediate Develop GenAI Apps with Gemini and Streamlit skill badge to demonstrate skills in the following: text generation, applying function calls with the Python SDK and the Gemini API, and deploying a Streamlit application with Cloud Run. You will explore different ways to prompt Gemini for text generation, use Cloud Shell to test and iterate on a Streamlit application, and then package it as a Docker container deployed in Cloud Run.",2,8,,P,5,30
14,Introduction to Image Generation,"This course introduces diffusion models, a family of machine learning models that recently showed promise in the image generation space. Diffusion models draw inspiration from physics, specifically thermodynamics. Within the last few years, diffusion models became popular in both research and industry. Diffusion models underpin many state-of-the-art image generation models and tools on Google Cloud. This course introduces you to the theory behind diffusion models and how to train and deploy them on Vertex AI.",3,1,,T,0,30
15,"
Attention Mechanism","This course will introduce you to the attention mechanism, a powerful technique that allows neural networks to focus on specific parts of an input sequence. You will learn how attention works, and how it can be used to improve the performance of a variety of machine learning tasks, including machine translation, text summarization, and question answering.

This course is estimated to take approximately 45 minutes to complete.",3,2,,T,0,30
16,Encoder-Decoder Architecture,"This course gives you a synopsis of the encoder-decoder architecture, which is a powerful and prevalent machine learning architecture for sequence-to-sequence tasks such as machine translation, text summarization, and question answering. You learn about the main components of the encoder-decoder architecture and how to train and serve these models. In the corresponding lab walkthrough, you’ll code in TensorFlow a simple implementation of the encoder-decoder architecture for poetry generation from the beginning.",3,3,,T,0,30
17,Transformer Models and BERT Model,"This course introduces you to the Transformer architecture and the Bidirectional Encoder Representations from Transformers (BERT) model. You learn about the main components of the Transformer architecture, such as the self-attention mechanism, and how it is used to build the BERT model. You also learn about the different tasks that BERT can be used for, such as text classification, question answering, and natural language inference.

This course is estimated to take approximately 45 minutes to complete.",3,4,,T,0,30
18,"Create Image Captioning Models","This course teaches you how to create an image captioning model by using deep learning. You learn about the different components of an image captioning model, such as the encoder and decoder, and how to train and evaluate your model. By the end of this course, you will be able to create your own image captioning models and use them to generate captions for images",3,5,,T,0,30
19,Introduction to Vertex AI Studio,"This course introduces Vertex AI Studio, a tool for prototyping and customizing generative AI models. Through immersive lessons, engaging demos, and a hands-on lab, you'll explore the generative AI workflow and learn how to leverage Vertex AI Studio for Gemini multimodal applications, prompt design, and model tuning. The aim is to enable you to unlock the potentials of these models in your projects with Vertex AI Studio.",3,6,,P,2,0
20,Vector Search and Embeddings,"This course introduces Vertex AI Vector Search and describes how it can be used to build a search application with large language model (LLM) APIs for embeddings. The course consists of conceptual lessons on vector search and text embeddings, practical demos on how to build vector search on Vertex AI, and a hands-on lab.",3,7,,P,2,0
21,Inspect Rich Documents with Gemini Multimodality and Multimodal RAG,"Complete the intermediate Inspect Rich Documents with Gemini Multimodality and Multimodal RAG skill badge to demonstrate skills in the following: using multimodal prompts to extract information from text and visual data, generating a video description, and retrieving extra information beyond the video using multimodality with Gemini; building metadata of documents containing text and images, getting all relevant text chunks, and printing citations by using Multimodal Retrieval Augmented Generation (RAG) with Gemini.

A skill badge is an exclusive digital badge issued by Google Cloud in recognition of your proficiency with Google Cloud products and services and tests your ability to apply your knowledge in an interactive hands-on environment. Complete this skill badge course and the final assessment challenge lab to receive a skill badge that you can share with your network.",3,8,,P,4,45
22,Responsible AI for Developers: Fairness & Bias,This course introduces concepts of responsible AI and AI principles. It covers techniques to practically identify fairness and bias and mitigate bias in AI/ML practices. It explores practical methods and tools to implement Responsible AI best practices using Google Cloud products and open source tools.,3,9,,P,4,0
23,Responsible AI for Developers: Interpretability & Transparency,This course introduces concepts of AI interpretability and transparency. It discusses the importance of AI transparency for developers and engineers. It explores practical methods and tools to help achieve interpretability and transparency in both data and AI models.,3,10,,P,3,0
24,Responsible AI for Developers: Privacy & Safety,This course introduces important topics of AI privacy and safety. It explores practical methods and tools to implement AI privacy and safety recommended practices through the use of Google Cloud products and open-source tools.,3,11,,P,5,0
25,Machine Learning Operations (MLOps) for Generative AI,"This course is dedicated to equipping you with the knowledge and tools needed to uncover the unique challenges faced by MLOps teams when deploying and managing Generative AI models, and exploring how Vertex AI empowers AI teams to streamline MLOps processes and achieve success in Generative AI projects.",3,12,,T,0,30
